epoch,train_loss,val_loss,val_mae,lr,seconds
0,0.26138578629526504,0.22062857677649178,33.37242531776428,0.000299794430213186,3.9284133911132812
1,0.23746665528260696,0.21520739030265165,32.62275528907776,0.00029917828430524096,7.834280729293823
2,0.2271185456106086,0.22104117528221512,33.36823868751526,0.00029815325108927063,11.74597716331482
3,0.2196730402446598,0.21866158675370512,32.52328848838806,0.0002967221401100708,15.632364749908447
4,0.21341256946590037,0.2183272766714539,32.6142475605011,0.0002948888739433602,19.51923894882202
5,0.20725355323160047,0.21219994150201638,31.947603702545166,0.00029265847744427303,23.410383939743042
6,0.2027182426493423,0.22323862987013116,33.075172662734985,0.00029003706397458023,27.29218101501465
7,0.1970938535599225,0.22651219005699558,33.544835329055786,0.0002870318186463901,31.178956747055054
8,0.192224542199421,0.22567078183569764,32.991790771484375,0.00028365097862825513,35.05577111244202
9,0.18758919974887767,0.226492994196093,33.03484916687012,0.0002799038105676658,38.92144751548767
10,0.18248961013199244,0.23331367947401868,34.04578948020935,0.0002758005851918136,42.805742502212524
11,0.17867919868593252,0.22614182843259584,33.1120548248291,0.0002713525491562421,46.68952798843384
12,0.17521055585023318,0.22426832116006676,33.34117937088013,0.0002665718942185456,50.58845090866089
13,0.1722131227567699,0.22052944265072127,32.892627000808716,0.00026147172382160914,54.48115062713623
14,0.1690791075395591,0.21979637973324348,32.82840609550476,0.00025606601717798207,58.35203790664673
15,0.16597060424781843,0.22148368134371782,32.942859411239624,0.0002503695909538287,62.24872398376465
16,0.16335552714005452,0.22105346253209157,32.976730823516846,0.0002443980586574756,66.11090898513794
17,0.16076026300699692,0.22638593015741804,33.48636221885681,0.00023816778784387094,69.98074841499329
