epoch,train_loss,val_loss,val_mae,lr,seconds
0,0.26731449830695353,0.21231934997745197,32.2422297000885,0.000299794430213186,2.715092897415161
1,0.2428897045737618,0.2137603681968671,32.3795485496521,0.00029917828430524096,5.30243706703186
2,0.2361571863648051,0.20995893020082074,31.96752691268921,0.00029815325108927063,7.902352333068848
3,0.23045205563192375,0.2130088891177917,31.8391056060791,0.0002967221401100708,10.491896390914917
4,0.2259614425912287,0.22094374008782036,32.713069915771484,0.0002948888739433602,13.072758674621582
5,0.22230477468151985,0.21616316146467418,32.23413109779358,0.00029265847744427303,15.655310869216919
6,0.21907387741063344,0.214388846619708,32.48472547531128,0.00029003706397458023,18.285417556762695
7,0.2163353554020161,0.20976237167596082,31.616703033447266,0.0002870318186463901,20.864924669265747
8,0.21326209214555,0.2211111344379209,32.304563760757446,0.00028365097862825513,23.4602632522583
9,0.21020210466143585,0.2243401865061254,33.03894853591919,0.0002799038105676658,26.066221714019775
10,0.20803421509970266,0.21635920174514278,32.49714660644531,0.0002758005851918136,28.718873023986816
11,0.20598066423153003,0.22370506398190157,32.5623722076416,0.0002713525491562421,31.326424837112427
12,0.20374921338969065,0.21898426671351162,32.301692724227905,0.0002665718942185456,33.92609667778015
13,0.20219377656178772,0.22387257418551137,32.79091262817383,0.00026147172382160914,36.55254125595093
14,0.19966113588872683,0.2218294153864859,32.64341449737549,0.00025606601717798207,39.197182416915894
15,0.19802669165154788,0.220662100043502,32.699889183044434,0.0002503695909538287,41.81737995147705
16,0.19577345390980191,0.22713670777296208,33.156861782073975,0.0002443980586574756,44.45394206047058
17,0.19475454820559232,0.2278995501346722,33.13192701339722,0.00023816778784387094,47.09130597114563
18,0.19321373796434319,0.22197205942490236,32.771127462387085,0.00023169585525225405,49.71745443344116
19,0.1911410621223125,0.21966026096280858,32.4715850353241,0.000225,52.32778716087341
