epoch,train_loss,val_loss,val_mae,lr,seconds
0,0.26236704102139247,0.2215005246699775,33.589062213897705,0.000299794430213186,19.154736042022705
1,0.23797575068703367,0.2211186668396867,32.99286770820618,0.00029917828430524096,38.289783000946045
2,0.22774109369711423,0.2263773588737714,33.71852493286133,0.00029815325108927063,57.47884964942932
3,0.22025887340373845,0.22654067485548293,33.208009004592896,0.0002967221401100708,76.66546893119812
4,0.21347680624709567,0.22795674983816405,33.2017126083374,0.0002948888739433602,95.81939268112183
5,0.20724772267682798,0.21938327890990356,32.4925217628479,0.00029265847744427303,114.92534446716309
6,0.20091194350969907,0.2248653495604964,33.182743072509766,0.00029003706397458023,134.03246402740479
7,0.19488161177602809,0.23759901025750813,34.285900354385376,0.0002870318186463901,153.09703636169434
8,0.18931787183113416,0.24041726628390503,34.101139545440674,0.00028365097862825513,172.112318277359
9,0.18425187588598851,0.24242270893599396,34.19357967376709,0.0002799038105676658,191.1419312953949
10,0.17964759558188184,0.25273933220557354,35.324379205703735,0.0002758005851918136,210.2080101966858
11,0.17500277082707194,0.24781980997976435,34.69009494781494,0.0002713525491562421,229.28046894073486
12,0.1707392829112784,0.24255955711835434,34.4807071685791,0.0002665718942185456,248.33922910690308
13,0.1675218069076511,0.24101181210087472,34.32457709312439,0.00026147172382160914,267.4078600406647
14,0.16377745245263273,0.2365524999907049,33.90560221672058,0.00025606601717798207,286.4750294685364
15,0.1610346369701946,0.23831389841866293,34.121673345565796,0.0002503695909538287,305.4820816516876
16,0.15787982152446894,0.24413654207162777,34.348037004470825,0.0002443980586574756,324.45369386672974
17,0.15519394422525035,0.2401797793411852,34.448835372924805,0.00023816778784387094,343.4161756038666
