epoch,train_loss,val_loss,val_mae,lr,seconds
0,0.27254647199448573,0.22873587469922096,34.363513231277466,0.000299794430213186,20.54006791114807
1,0.24846352758848386,0.22436534688123325,33.88902831077576,0.00029917828430524096,41.11935329437256
2,0.23958376580148488,0.22850506233544454,34.571704387664795,0.00029815325108927063,61.78870701789856
3,0.23280272354139722,0.21797670513109155,32.546207666397095,0.0002967221401100708,82.47061228752136
4,0.22680770706102918,0.22721084013994583,33.21717166900635,0.0002948888739433602,103.0524730682373
5,0.2217077933137851,0.2169794344715625,32.318932056427,0.00029265847744427303,123.57514142990112
6,0.21704465386959618,0.2265062348345428,33.382588386535645,0.00029003706397458023,144.10915613174438
7,0.21203168108867188,0.22883468707318638,33.79228448867798,0.0002870318186463901,164.73817658424377
8,0.20805876747032476,0.2304055617322607,33.274497270584106,0.00028365097862825513,185.3702528476715
9,0.20408578083637322,0.2318991293031295,33.41321349143982,0.0002799038105676658,205.95677042007446
10,0.19984963336857323,0.24271232557309,35.159258127212524,0.0002758005851918136,226.55379605293274
11,0.19668529059485354,0.23621612136160697,33.89339303970337,0.0002713525491562421,247.1133074760437
12,0.19335262864252525,0.23523883193462575,34.30892729759216,0.0002665718942185456,267.6914038658142
13,0.19029511653257924,0.23741899004348296,34.23463034629822,0.00026147172382160914,288.26422214508057
14,0.18689733346565193,0.22937753586352191,33.438098669052124,0.00025606601717798207,308.8376090526581
15,0.18458800015015564,0.22779137822757395,33.41506338119507,0.0002503695909538287,329.48059821128845
16,0.18214063085237747,0.2319153233343792,33.61047577857971,0.0002443980586574756,350.06628489494324
17,0.1792198529692118,0.23379990892545802,34.22984719276428,0.00023816778784387094,370.61657977104187
